Column1,ID,CID,QID,RID,EID,AID,Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Cat ID,Category,Question Context
1551,1551,5,13,1,1,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,All Ages,87,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1552,1552,5,13,2,1,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,All Ages,7,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1553,1553,5,13,3,1,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,All Ages,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1554,1554,5,13,1000,1,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,All Ages,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1764,1764,5,13,1,1,2,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1765,1765,5,13,2,1,2,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1766,1766,5,13,3,1,2,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1767,1767,5,13,1000,1,2,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1835,1835,5,13,1,1,3,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,18 to 35,90,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1836,1836,5,13,2,1,3,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,18 to 35,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1837,1837,5,13,3,1,3,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,18 to 35,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1838,1838,5,13,1000,1,3,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,18 to 35,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1906,1906,5,13,1,1,4,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,36 to 59,83,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1907,1907,5,13,2,1,4,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,36 to 59,10,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1908,1908,5,13,3,1,4,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,36 to 59,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1909,1909,5,13,1000,1,4,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,36 to 59,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1977,1977,5,13,1,1,5,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,60 plus,88,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1978,1978,5,13,2,1,5,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,60 plus,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1979,1979,5,13,3,1,5,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,60 plus,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1980,1980,5,13,1000,1,5,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,60 plus,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2048,2048,5,13,1,4,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,12 to 19,All Ages,85,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2049,2049,5,13,2,4,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,12 to 19,All Ages,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
